id,name
9045,道路工程造价
714,道路养护与管理
9046,智能交通技术
9047,道路运输管理
717,交通运营管理
9048,汽车技术服务与营销
9171,汽车检测与维修技术
9049,新能源汽车检测与维修技术
729,港口与航道工程技术
732,轮机工程技术
724,国际邮轮乘务管理
9050,水路运输安全管理
9172,港口机械与智能控制
730,港口与航运管理
725,船舶电子电气技术
726,船舶检验
735,集装箱运输管理
9051,民航运输服务
737,民航通信技术
738,定翼机驾驶技术
739,直升机驾驶技术
740,空中乘务
741,民航安全技术管理
742,民航空中安全保卫
9052,机场运行服务与管理
744,飞机机电设备维修
745,飞机电子设备维修
746,飞机部件修理
751,通用航空器维修
753,飞机结构修理
747,航空地面设备维修
748,机场场务技术与管理
752,通用航空航务技术
749,航空油料
754,管道工程技术
755,管道运输管理
760,城市轨道交通工程技术
9053,城市轨道车辆应用技术
757,城市轨道交通机电技术
758,城市轨道交通通信信号技术
759,城市轨道交通供配电技术
761,城市轨道交通运营管理
9054,邮政快递运营管理
9055,邮政快递智能技术
762,邮政通信管理
764,电子信息工程技术
782,物联网应用技术
765,应用电子技术
9173,电子产品制造技术
9174,电子产品检测技术
778,移动互联应用技术
770,汽车智能技术
9175,智能产品开发与应用
9056,智能光电技术应用
781,光电显示技术
783,计算机应用技术
784,计算机网络技术
787,软件技术
9177,大数据技术
9057,云计算技术应用
9058,信息安全技术应用
9059,虚拟现实技术应用
9060,人工智能技术应用
9061,嵌入式技术应用
9062,工业互联网技术
9063,区块链技术应用
794,移动应用开发
9064,工业软件开发技术
789,动漫制作技术
9065,密码技术应用
9178,现代通信技术
9066,现代移动通信技术
9067,通信软件技术
9068,卫星通信与导航技术
800,通信工程设计与监理
799,通信系统运行管理
9069,智能互联网络技术
9070,网络规划与优化技术
1097,电信服务与管理
9071,集成电路技术
766,微电子技术
813,护理
814,助产
806,中医骨伤
807,针灸推拿
811,傣医学
1309,朝医学
817,蒙药学
818,维药学
819,藏药学
9072,中药材生产与加工
831,中医康复技术
840,中医养生保健
9074,药膳与食疗
821,医学生物技术
827,放射治疗技术
828,呼吸治疗技术
823,医学美容技术
825,卫生检验与检疫技术
829,康复治疗技术
846,康复辅助器具技术
830,言语听觉康复技术
833,公共卫生管理
835,卫生信息管理
9075,健康大数据管理与服务
838,健康管理
9076,婴幼儿托育服务与管理
848,老年保健与管理
841,心理咨询
839,医学营养
9077,生殖健康管理
826,眼视光技术
9078,眼视光仪器技术
9079,视觉训练与康复
9179,财税大数据应用
851,资产评估与管理
852,政府采购管理
9180,金融服务与管理
9080,金融科技应用
9081,保险实务
859,信用管理
9082,财富管理
9083,证券实务
854,国际金融
860,农村金融
9084,大数据与财务管理
9085,大数据与会计
9086,大数据与审计
865,会计信息管理
9087,统计与大数据分析
867,统计与会计核算
9088,市场调查与统计分析
9089,关务与外贸服务
871,服务外包
875,国际文化贸易
876,工商企业管理
9090,连锁经营与管理
877,商务管理
1311,中小企业创业与经营
1982,跨境电子商务
887,移动商务
9091,网络营销与直播电商
9092,农村电子商务
1312,商务数据分析与应用
889,物流工程技术
9093,现代物流管理
9094,航空物流管理
706,铁路物流管理
894,冷链物流技术与管理
731,港口物流管理
893,工程物流管理
895,采购与供应管理
9095,智能物流技术
9096,供应链运营
897,导游
9097,旅行社经营与管理
9098,定制旅行管理与服务
8557,研学旅行管理与服务
9099,酒店管理与数字化运营
9100,民宿管理与运营
9101,葡萄酒文化与营销
9102,茶艺与茶文化
9103,智慧景区开发与管理
9104,智慧旅游技术应用
907,会展策划与管理
901,休闲服务与管理
9105,餐饮智能管理
9106,烹饪工艺与营养
905,中西面点工艺
9107,西式烹饪工艺
904,营养配餐
908,艺术设计
911,数字媒体艺术设计
912,产品艺术设计
918,环境艺术设计
9109,书画艺术
919,公共艺术设计
9110,游戏艺术设计
917,展示艺术设计
930,美容美体艺术
926,工艺美术品设计
9111,广告艺术设计
916,室内艺术设计
913,家具艺术设计
927,动漫设计
929,人物形象设计
931,摄影与摄像艺术
920,雕刻艺术设计
914,皮具艺术设计
921,包装艺术设计
922,陶瓷设计与工艺
925,首饰设计与工艺
924,玉器设计与工艺
923,刺绣设计与工艺
9112,雕塑设计
679,服装陈列与展示设计
936,戏曲表演
933,表演艺术
934,戏剧影视表演
935,歌舞表演
937,曲艺表演
938,音乐剧表演
940,国际标准舞
943,现代流行音乐
9113,戏曲音乐
945,音乐制作
946,钢琴伴奏
947,钢琴调律
1257,音乐传播
9181,时尚表演与传播
950,舞台艺术设计与制作
944,作曲技术
9114,现代魔术设计与表演
952,民族表演艺术
953,民族美术
9115,民族服装与饰品
956,民族传统技艺
